type,entry_time,entry_price,close_time,close_price,support,resistance
short,2020-01-19 06:45:00,9111.58,2020-01-19 18:45:00,8589.41,9047.49,
short,2020-02-15 02:45:00,10369.87,2020-02-15 23:30:00,9841.01,10360.23,
short,2020-02-20 00:15:00,10195.22,2020-02-20 03:15:00,9450.0,10150.85,
short,2020-02-26 00:15:00,9382.3,2020-02-26 21:45:00,8829.94,9359.17,
short,2020-03-08 00:15:00,8887.0,2020-03-08 21:00:00,8374.56,8870.54,
short,2020-03-09 00:15:00,8293.22,2020-03-09 09:45:00,7852.92,8290.09,
short,2020-03-12 00:15:00,7759.5,2020-03-12 15:40:00,7301.69,7720.0,
short,2020-03-12 16:00:00,7076.1,2020-03-12 16:05:00,6776.96,7180.0,
short,2020-03-12 16:45:00,6383.51,2020-03-12 17:10:00,5750.17,6147.79,
short,2020-03-12 17:55:00,6093.59,2020-03-12 19:10:00,5799.79,6159.77,
short,2020-03-13 00:15:00,6062.86,2020-03-13 02:20:00,5685.32,6015.13,
short,2020-03-13 02:40:00,5694.69,2020-03-13 04:50:00,5162.66,5677.11,
short,2020-03-13 05:10:00,4760.46,2020-03-13 07:15:00,4503.21,4750.0,
short,2020-03-13 08:55:00,5369.23,2020-03-13 10:25:00,4774.48,5028.03,
short,2020-03-13 13:30:00,5549.13,2020-03-13 21:10:00,4927.0,5209.99,
short,2020-03-13 22:15:00,5265.96,2020-03-13 23:35:00,4994.09,5310.0,
short,2020-03-14 03:15:00,5524.98,2020-03-14 15:15:00,5237.54,5531.11,
short,2020-03-15 00:15:00,5460.0,2020-03-15 04:35:00,5142.57,5440.4,
short,2020-03-16 00:15:00,5323.79,2020-03-16 11:30:00,5024.27,5300.0,
short,2020-03-16 11:50:00,5017.43,2020-03-16 15:30:00,4589.46,4959.0,
short,2020-03-17 13:20:00,5345.48,2020-03-17 19:25:00,5090.11,5358.25,
short,2020-03-18 00:15:00,5356.96,2020-03-18 15:35:00,5035.82,5367.0,
short,2020-03-20 14:45:00,6662.83,2020-03-20 23:55:00,6273.0,6640.41,
short,2020-03-21 00:15:00,6244.0,2020-03-21 02:00:00,5793.24,6162.7,
short,2020-03-21 07:25:00,6285.0,2020-03-21 16:45:00,5925.02,6238.08,
short,2020-03-22 02:20:00,6349.66,2020-03-22 17:45:00,5957.15,6292.7,
short,2020-03-25 15:00:00,6864.43,2020-03-25 17:05:00,6484.01,6841.67,
short,2020-03-28 00:15:00,6655.04,2020-03-28 05:30:00,6232.71,6635.53,
short,2020-04-03 17:25:00,7004.42,2020-04-03 21:50:00,6622.25,6971.48,
short,2020-04-10 00:15:00,7265.93,2020-04-10 12:30:00,6881.82,7245.5,
short,2020-04-13 00:15:00,7089.5,2020-04-13 05:55:00,6691.83,7063.3,
short,2020-04-30 08:35:00,8948.0,2020-04-30 23:15:00,8451.48,8903.17,
short,2020-05-10 00:15:00,9747.53,2020-05-10 05:45:00,8628.15,9736.58,
short,2020-05-10 07:00:00,8692.58,2020-05-10 22:25:00,8270.0,8710.0,
short,2020-05-11 04:25:00,8777.99,2020-05-11 23:45:00,8300.0,8742.94,
short,2020-05-21 00:15:00,9534.14,2020-05-21 20:10:00,9025.21,9512.41,
short,2020-06-02 04:50:00,10049.47,2020-06-02 20:55:00,9380.53,9907.12,
short,2020-06-11 00:15:00,9962.02,2020-06-11 22:25:00,9117.01,9831.0,
short,2020-08-02 00:20:00,11651.02,2020-08-02 17:05:00,11001.52,11588.44,
short,2020-08-25 00:15:00,11728.99,2020-08-25 23:35:00,11130.0,11720.35,
short,2020-09-02 00:15:00,11979.16,2020-09-02 16:50:00,11321.54,11966.02,
short,2020-09-03 00:15:00,11372.46,2020-09-03 18:10:00,10762.67,11360.05,
